  18  106   28  126   110
X (abs(X) < 0.90 cm; step 0.10 cm) vs. X divergence (abs(dvrgX) < 5.3 mr; step 0.10 mr) [based on neutrons]
     4     0     0     1     1     2     1     5     5     5     3     1     1     1     2     1     0     2     2     2     1     1     5     1     0     4     4     2
     0     3     2     2     1     2     1     3     2     4     2     2     0     0     7     2     0     1     3     1     0     0     3     2     2     0     1     2
     1     2     1     2     2     1     1     2     1     2     3     0     3     2     1     2     4     0     5     1     1     1     0     3     0     3     3     3
     3     2     0     1     2     0     1     1     0     2     5     2     2     1     0     2     1     1     1     2     1     2     0     3     1     2     2     2
     1     3     0     3     4     4     2     0     2     2     2     2     1     0     1     0     0     1     1     1     0     3     2     0     3     1     5     1
     0     4     1     2     2     0     3     1     6     3     0     0     6     1     4     0     0     2     2     1     3     2     0     4     3     2     2     5
     1     0     0     3     1     1     3     1     2     0     3     3     0     0     1     1     4     1     2     2     1     0     2     3     2     0     5     0
     2     1     1     3     1     1     0     0     2     2     1     1     2     2     1     0     1     1     0     0     1     0     3     2     2     3     0     0
     0     4     4     1     0     5     3     0     1     1     2     2     2     3     3     4     4     1     2     1     1     3     1     1     1     2     0     1
     6     6     6     6     4     4     3     4     1     2     3     1     2     2     2     0     1     2     2     2     2     2     1     0     0     4     4     2
     3     5     4     3     4     1     4     7     4     5     5     7     4     5     1     2     2     0     1     2     1     2     4     0     1     1     0     3
     4     5     2     4     3     8     4     2     7     8     3     6     6     1    11     8     2     4     5     2     3     1     3     2     2     2     4     4
     4     2     2     3     4     3     3     3     9     7     3     3     6     5     7     5    11     1     3     6     5     4     4     5     2     1     3     4
     2     5     1     3     5     2     4     5     5     4     3     4     1     4     5     4     4     9     4     6     4     6     8     2     7     6     5     6
     4     2     1     0     2     5     1     1     4     3     3     2     0     5     3     6     0     5     2     3     3     3     2     2     3    12     8     6
     1     2     3     0     3     4     2     2     1     2     1     6     2     2     3     7     0     1     3     5     5     1     5     7     4     7     4     4
     1     3     0     2     2     2     2     3     3     3     1     2     4     3     2     4     1     1     4     2     5     0     5     3     2     2     5     1
     1     0     1     3     4     1     2     2     2     0     4     3     2     3     7     1     0     2     0     2     0     2     5     1     2     2     2     3
     1     2     3     3     1     0     0     4     1     0     3     1     3     4     2     2     1     1     1     0     2     1     3     5     2     2     2     5
     1     0     1     2     0     4     0     4     5     4     2     1     1     1     2     1     2     3     3     1     2     1     5     2     1     0     2     1
     0     2     2     1     0     1     2     0     2     3     2     0     2     2     1     3     6     3     1     2     2     0     3     2     3     0     2     5
     0     0     1     1     2     0     1     1     1     1     3     2     3     1     4     1     1     1     2     2     0     3     3     1     1     3     3     3
     0     0     2     0     3     1     0     3     0     1     1     0     1     1     1     1     1     2     2     2     3     1     2     1     1     1     2     1
     0     1     0     1     0     1     1     2     1     1     1     1     0     2     4     1     0     3     3     2     2     0     1     2     0     1     2     1
     0     0     0     0     0     0     1     0     0     0     2     1     2     1     2     1     3     1     3     1     2     2     0     0     1     1     2     2
     0     1     0     2     0     2     2     2     0     7     0     0     2     1     0     1     3     1     1     0     2     1     5     2     0     2     0     0
     1     0     0     0     1     2     2     1     0     1     3     0     0     1     0     2     0     1     2     2     3     3     3     0     5     1     0     3
     1     0     0     0     1     1     1     1     0     0     4     2     1     1     1     1     0     5     0     0     1     3     3     0     0     2     0     1
